word,pos,previous-pos,two-previous-pos,next-pos,two-next-pos,positive-word,negative-word,strong-sub,weak-sub,around-positive,around-negative,abstract-or-concrete
founded,VBN,VBD,NN,IN,DT,0,0,0,1,0,0,0
as,IN,VBN,VBD,DT,JJ,0,0,0,1,0,0,1
an,DT,IN,VBN,JJ,NN,0,0,0,1,0,0,1
academic,JJ,DT,IN,NN,IN,0,0,0,1,0,0,0
discipline,NN,JJ,DT,IN,CC,0,0,0,1,0,0,1
in,IN,NN,JJ,CC,IN,0,0,0,1,0,0,1
and,CC,IN,NN,IN,DT,0,0,0,1,0,0,1
in,IN,CC,IN,DT,NNS,0,0,0,1,0,0,1
the,DT,IN,CC,NNS,IN,0,0,0,1,0,0,1
years,NNS,DT,IN,IN,VBZ,0,0,0,1,0,0,0
since,IN,NNS,DT,VBZ,VBN,0,0,0,1,0,0,1
has,VBZ,IN,NNS,VBN,JJ,0,0,0,1,1,0,1
experienced,VBN,VBZ,IN,JJ,NNS,1,0,1,0,0,0,0
several,JJ,VBN,VBZ,NNS,IN,0,0,0,1,1,0,0
waves,NNS,JJ,VBN,IN,NN,0,0,0,1,0,0,0
of,IN,NNS,JJ,NN,VBN,0,0,0,1,0,0,1
optimism,NN,IN,NNS,VBN,IN,0,0,0,1,0,0,1
followed,VBN,NN,IN,IN,NN,0,0,0,1,0,0,0
by,IN,VBN,NN,NN,CC,0,0,0,1,0,1,1
disappointment,NN,IN,VBN,CC,DT,0,1,0,1,0,0,0
and,CC,NN,IN,DT,NN,0,0,0,1,0,1,1
the,DT,CC,NN,NN,IN,0,0,0,1,0,0,1
loss,NN,DT,CC,IN,VBG,0,0,0,1,0,0,1
of,IN,NN,DT,VBG,VBN,0,0,0,1,0,0,1
funding,VBG,IN,NN,VBN,IN,0,0,0,1,0,0,0
known,VBN,VBG,IN,IN,DT,0,0,0,1,0,0,1
as,IN,VBN,VBG,DT,NN,0,0,0,1,0,0,1
an,DT,IN,VBN,NN,NN,0,0,0,1,0,0,1
ai,NN,DT,IN,NN,VBN,0,0,0,1,0,0,0
winter,NN,NN,DT,VBN,IN,0,0,0,1,0,0,0
followed,VBN,NN,NN,IN,JJ,0,0,0,1,0,0,0
by,IN,VBN,NN,JJ,NNS,0,0,0,1,1,0,1
new,JJ,IN,VBN,NNS,NN,1,0,0,1,0,0,1
approaches,NNS,JJ,IN,NN,CC,0,0,0,1,1,0,0
success,NN,NNS,JJ,CC,VBN,1,0,0,1,0,0,1
and,CC,NN,NNS,VBN,NN,0,0,0,1,1,0,1
renewed,VBN,CC,NN,NN,IN,0,0,0,1,0,0,0
funding,NN,VBN,CC,IN,JJS,0,0,0,1,0,0,0
for,IN,NN,VBN,JJS,IN,0,0,0,1,1,0,1
most,JJS,IN,NN,IN,PRP$,1,0,0,0,0,0,1
of,IN,JJS,IN,PRP$,NN,0,0,0,1,1,0,1
its,PRP$,IN,JJS,NN,NN,0,0,0,1,0,0,1
history,NN,PRP$,IN,NN,NN,0,0,0,1,0,0,1
ai,NN,NN,PRP$,NN,VBZ,0,0,0,1,0,0,0
research,NN,NN,NN,VBZ,VBN,0,0,0,1,0,0,1
has,VBZ,NN,NN,VBN,VBN,0,0,0,1,0,0,1
been,VBN,VBZ,NN,VBN,IN,0,0,0,1,0,0,1
divided,VBN,VBN,VBZ,IN,JJ,0,0,0,1,0,0,0
into,IN,VBN,VBN,JJ,NNS,0,0,0,1,0,0,1
sub,JJ,IN,VBN,NNS,WDT,0,0,0,1,0,0,0
fields,NNS,JJ,IN,WDT,RB,0,0,0,1,0,0,0
that,WDT,NNS,JJ,RB,VBP,0,0,0,1,0,0,1
often,RB,WDT,NNS,VBP,TO,0,0,0,1,0,1,0
fail,VBP,RB,WDT,TO,VB,0,1,0,1,0,0,1
to,TO,VBP,RB,VB,IN,0,0,0,1,0,1,1
communicate,VB,TO,VBP,IN,DT,0,0,0,1,0,0,0
with,IN,VB,TO,DT,JJ,0,0,0,1,0,0,1
each,DT,IN,VB,JJ,DT,0,0,0,1,0,1,1
other,JJ,DT,IN,DT,JJ,0,1,0,1,0,0,1
these,DT,JJ,DT,JJ,NNS,0,0,0,1,0,1,1
sub,JJ,DT,JJ,NNS,VBP,0,0,0,1,0,0,0
fields,NNS,JJ,DT,VBP,VBN,0,0,0,1,0,0,0
are,VBP,NNS,JJ,VBN,IN,0,0,0,1,0,0,1
based,VBN,VBP,NNS,IN,JJ,0,0,0,1,0,0,0
on,IN,VBN,VBP,JJ,NNS,0,0,0,1,0,0,1
technical,JJ,IN,VBN,NNS,JJ,0,0,0,1,0,0,0
considerations,NNS,JJ,IN,JJ,IN,0,0,0,1,0,0,0
such,JJ,NNS,JJ,IN,JJ,0,0,0,0,0,0,1
as,IN,JJ,NNS,JJ,NNS,0,0,0,1,1,0,1
particular,JJ,IN,JJ,NNS,VBP,1,0,0,1,0,0,0
goals,NNS,JJ,IN,VBP,JJ,0,0,0,1,1,0,0
e,VBP,NNS,JJ,JJ,NNS,0,0,0,1,0,0,0
g,JJ,VBP,NNS,NNS,CC,0,0,0,1,0,0,0
robotics,NNS,JJ,VBP,CC,NN,0,0,0,1,0,0,0
or,CC,NNS,JJ,NN,VBG,0,0,0,1,0,0,1
machine,NN,CC,NNS,VBG,DT,0,0,0,1,0,0,0
learning,VBG,NN,CC,DT,NN,0,0,0,1,0,0,1
the,DT,VBG,NN,NN,IN,0,0,0,1,0,0,1
use,NN,DT,VBG,IN,JJ,0,0,0,1,0,0,0
of,IN,NN,DT,JJ,NNS,0,0,0,1,1,0,1
particular,JJ,IN,NN,NNS,VBD,1,0,0,1,0,0,0
tools,NNS,JJ,IN,VBD,CC,0,0,0,1,1,0,0
logic,VBD,NNS,JJ,CC,JJ,0,0,0,1,0,0,1
or,CC,VBD,NNS,JJ,JJ,0,0,0,1,0,1,1
artificial,JJ,CC,VBD,JJ,NNS,0,1,1,0,0,0,1
neural,JJ,JJ,CC,NNS,CC,0,0,0,1,0,1,0
networks,NNS,JJ,JJ,CC,JJ,0,0,0,1,0,0,0
or,CC,NNS,JJ,JJ,JJ,0,0,0,1,0,0,1
deep,JJ,CC,NNS,JJ,NNS,0,0,0,1,0,0,1
philosophical,JJ,JJ,CC,NNS,VBP,0,0,0,1,0,0,0
differences,NNS,JJ,JJ,VBP,NNS,0,0,0,1,0,0,0
sub,VBP,NNS,JJ,NNS,VBP,0,0,0,1,0,0,0
fields,NNS,VBP,NNS,VBP,RB,0,0,0,1,0,0,0
have,VBP,NNS,VBP,RB,VBN,0,0,0,1,0,0,1
also,RB,VBP,NNS,VBN,VBN,0,0,0,1,0,0,1
been,VBN,RB,VBP,VBN,IN,0,0,0,1,0,0,1
based,VBN,VBN,RB,IN,JJ,0,0,0,1,0,0,0
on,IN,VBN,VBN,JJ,NNS,0,0,0,1,1,0,1
social,JJ,IN,VBN,NNS,JJ,1,0,0,1,0,0,1
factors,NNS,JJ,IN,JJ,NNS,0,0,0,1,1,0,0
particular,JJ,NNS,JJ,NNS,CC,1,0,0,1,0,0,0
institutions,NNS,JJ,NNS,CC,DT,0,0,0,1,1,0,0
or,CC,NNS,JJ,DT,NN,0,0,0,1,0,0,1
the,DT,CC,NNS,NN,IN,0,0,0,1,0,0,1
work,NN,DT,CC,IN,JJ,0,0,0,1,0,0,0
of,IN,NN,DT,JJ,NNS,0,0,0,1,1,0,1
particular,JJ,IN,NN,NNS,DT,1,0,0,1,0,0,0
researchers,NNS,JJ,IN,DT,JJ,0,0,0,1,1,0,0
the,DT,NNS,JJ,JJ,NNS,0,0,0,1,0,0,1
traditional,JJ,DT,NNS,NNS,CC,0,0,1,0,0,0,0
problems,NNS,JJ,DT,CC,NNS,0,0,0,1,0,0,0
or,CC,NNS,JJ,NNS,IN,0,0,0,1,0,0,1
goals,NNS,CC,NNS,IN,JJ,0,0,0,1,0,0,0
of,IN,NNS,CC,JJ,NN,0,0,0,1,0,0,1
ai,JJ,IN,NNS,NN,VBP,0,0,0,1,0,0,0
research,NN,JJ,IN,VBP,VBG,0,0,0,1,0,0,1
include,VBP,NN,JJ,VBG,NN,0,0,0,1,0,0,0
reasoning,VBG,VBP,NN,NN,NN,0,0,0,1,0,0,0
knowledge,NN,VBG,VBP,NN,VBG,0,0,0,1,0,0,1
representation,NN,NN,VBG,VBG,VBG,0,0,0,1,0,0,0
planning,VBG,NN,NN,VBG,JJ,0,0,0,1,0,0,0
learning,VBG,VBG,NN,JJ,NN,0,0,0,1,1,0,1
natural,JJ,VBG,VBG,NN,NN,1,0,0,1,0,0,0
language,NN,JJ,VBG,NN,NN,0,0,0,1,1,0,0
processing,NN,NN,JJ,NN,CC,0,0,0,1,0,0,0
perception,NN,NN,NN,CC,DT,0,0,0,1,0,0,1
and,CC,NN,NN,DT,NN,0,0,0,1,0,0,1
the,DT,CC,NN,NN,TO,0,0,0,1,0,0,1
ability,NN,DT,CC,TO,VB,0,0,0,1,0,0,1
to,TO,NN,DT,VB,CC,0,0,0,1,0,0,1
move,VB,TO,NN,CC,VB,0,0,0,1,0,0,1
and,CC,VB,TO,VB,NNS,0,0,0,1,0,0,1
manipulate,VB,CC,VB,NNS,JJ,0,0,0,1,0,0,0
objects,NNS,VB,CC,JJ,NN,0,0,0,1,1,0,0
general,JJ,NNS,VB,NN,VBZ,1,0,0,0,0,0,0
intelligence,NN,JJ,NNS,VBZ,IN,0,0,0,1,1,0,1
is,VBZ,NN,JJ,IN,DT,0,0,0,1,0,0,1
among,IN,VBZ,NN,DT,NN,0,0,0,1,0,0,0
the,DT,IN,VBZ,NN,NN,0,0,0,1,0,0,1
field,NN,DT,IN,NN,JJ,0,0,0,1,0,0,0
s,NN,NN,DT,JJ,NN,0,0,0,1,0,1,0
long,JJ,NN,NN,NN,NNS,0,1,0,1,0,0,1
term,NN,JJ,NN,NNS,NNS,0,0,0,1,0,1,1
goals,NNS,NN,JJ,NNS,VBP,0,0,0,1,0,0,0
approaches,NNS,NNS,NN,VBP,JJ,0,0,0,1,0,0,0
include,VBP,NNS,NNS,JJ,NNS,0,0,0,1,0,0,0
statistical,JJ,VBP,NNS,NNS,JJ,0,0,0,1,0,0,0
methods,NNS,JJ,VBP,JJ,NN,0,0,0,1,0,0,0
computational,JJ,NNS,JJ,NN,CC,0,0,0,1,0,0,0
intelligence,NN,JJ,NNS,CC,JJ,0,0,0,1,0,0,1
and,CC,NN,JJ,JJ,JJ,0,0,0,1,0,0,1
traditional,JJ,CC,NN,JJ,VBP,0,0,1,0,0,0,0
symbolic,JJ,JJ,CC,VBP,JJ,0,0,0,1,0,0,0
ai,VBP,JJ,JJ,JJ,NNS,0,0,0,1,1,0,0
many,JJ,VBP,JJ,NNS,VBP,1,0,0,0,0,0,1
tools,NNS,JJ,VBP,VBP,VBN,0,0,0,1,1,0,0
are,VBP,NNS,JJ,VBN,IN,0,0,0,1,0,0,1
used,VBN,VBP,NNS,IN,JJ,0,0,0,1,0,0,1
in,IN,VBN,VBP,JJ,VBG,0,0,0,1,0,0,1
ai,JJ,IN,VBN,VBG,NNS,0,0,0,1,0,0,0
including,VBG,JJ,IN,NNS,IN,0,0,0,1,0,0,0
versions,NNS,VBG,JJ,IN,NN,0,0,0,1,0,0,0
of,IN,NNS,VBG,NN,CC,0,0,0,1,0,0,1
search,NN,IN,NNS,CC,JJ,0,0,0,1,0,0,1
and,CC,NN,IN,JJ,NN,0,0,0,1,0,0,1
mathematical,JJ,CC,NN,NN,JJ,0,0,0,1,0,0,1
optimization,NN,JJ,CC,JJ,JJ,0,0,0,1,0,1,0
artificial,JJ,NN,JJ,JJ,NNS,0,1,1,0,0,0,1
neural,JJ,JJ,NN,NNS,CC,0,0,0,1,0,1,0
networks,NNS,JJ,JJ,CC,NNS,0,0,0,1,0,0,0
and,CC,NNS,JJ,NNS,VBN,0,0,0,1,0,0,1
methods,NNS,CC,NNS,VBN,IN,0,0,0,1,0,0,0
based,VBN,NNS,CC,IN,NNS,0,0,0,1,0,0,0
on,IN,VBN,NNS,NNS,NN,0,0,0,1,0,0,1
statistics,NNS,IN,VBN,NN,CC,0,0,0,1,0,0,0
probability,NN,NNS,IN,CC,VB,0,0,0,1,0,0,0
and,CC,NN,NNS,VB,DT,0,0,0,1,0,0,1
economics,VB,CC,NN,DT,JJ,0,0,0,1,0,0,0
the,DT,VB,CC,JJ,NN,0,0,0,1,0,0,1
ai,JJ,DT,VB,NN,VBZ,0,0,0,1,0,0,0
field,NN,JJ,DT,VBZ,IN,0,0,0,1,0,0,0
draws,VBZ,NN,JJ,IN,NN,0,0,0,1,0,0,0
upon,IN,VBZ,NN,NN,NN,0,0,0,1,0,0,1
computer,NN,IN,VBZ,NN,NN,0,0,0,1,0,0,0
science,NN,NN,IN,NN,NN,0,0,0,1,0,0,1
information,NN,NN,NN,NN,NNS,0,0,0,1,0,0,1
engineering,NN,NN,NN,NNS,NN,0,0,0,1,0,0,0
mathematics,NNS,NN,NN,NN,NNS,0,0,0,1,0,0,0
psychology,NN,NNS,NN,NNS,NN,0,0,0,1,0,0,1
linguistics,NNS,NN,NNS,NN,CC,0,0,0,1,0,0,0
philosophy,NN,NNS,NN,CC,JJ,0,0,0,1,0,0,1
and,CC,NN,NNS,JJ,JJ,0,0,0,1,1,0,1
many,JJ,CC,NN,JJ,NNS,1,0,0,0,0,1,1
other,JJ,JJ,CC,NNS,DT,0,1,0,1,1,0,1
fields,NNS,JJ,JJ,DT,NN,0,0,0,1,0,1,0
the,DT,NNS,JJ,NN,VBD,0,0,0,1,0,0,1
field,NN,DT,NNS,VBD,VBN,0,0,0,1,0,0,0
was,VBD,NN,DT,VBN,IN,0,0,0,1,0,0,1
founded,VBN,VBD,NN,IN,DT,0,0,0,1,0,0,0
on,IN,VBN,VBD,DT,NN,0,0,0,1,0,0,1
the,DT,IN,VBN,NN,IN,0,0,0,1,0,0,1
assumption,NN,DT,IN,IN,JJ,0,0,0,1,0,0,0
that,IN,NN,DT,JJ,NN,0,0,0,1,0,0,1
human,JJ,IN,NN,NN,MD,0,0,0,1,0,0,0
intelligence,NN,JJ,IN,MD,VB,0,0,0,1,0,0,1
can,MD,NN,JJ,VB,RB,0,0,0,1,0,0,1
be,VB,MD,NN,RB,RB,0,0,0,1,0,0,1
so,RB,VB,MD,RB,VBN,0,0,0,1,1,0,1
precisely,RB,RB,VB,VBN,IN,1,0,1,0,0,0,0
described,VBN,RB,RB,IN,DT,0,0,0,1,1,0,0
that,IN,VBN,RB,DT,NN,0,0,0,1,0,0,1
a,DT,IN,VBN,NN,MD,0,0,0,1,0,0,1
machine,NN,DT,IN,MD,VB,0,0,0,1,0,0,0
can,MD,NN,DT,VB,VBN,0,0,0,1,0,0,1
be,VB,MD,NN,VBN,TO,0,0,0,1,0,0,1
made,VBN,VB,MD,TO,VB,0,0,0,1,0,0,1
to,TO,VBN,VB,VB,PRP,0,0,0,1,0,0,1
simulate,VB,TO,VBN,PRP,DT,0,0,0,1,0,0,0
